"effortId","min","max","mean"
"2021-05-05T19-03-00-Andrew Simon!Andrew Simon",2.81,78.61,23.59
"2022-03-20T17-13-00-Andrew Simon!Andrew Simon",37.49,54.28,45.89
"2022-03-26T13-43-00-Caitlin Robinson!Caitlin Robinson",45.2,45.2,45.2
"2022-03-26T14-40-00-Caitlin Robinson!Caitlin Robinson",1.36,125.07,56.68
"2022-03-30T17-51-00-Caitlin Robinson!Caitlin Robinson",6.9,107.23,39.75
"2022-04-01T15-03-00-Caitlin Robinson!Andrew Simon",0,243.78,61.45
"2022-04-01T15-03-00-Caitlin Robinson!Caitlin Robinson",2.59,85.11,24.87
"2022-04-03T15-00-00-Caitlin Robinson!Caitlin Robinson",17.1,17.1,17.1
"2022-04-08T12-00-00-Caitlin Robinson!Caitlin Robinson",6.17,157.57,32.87
"2022-04-08T11-22-00-Caitlin Robinson!Andrew Simon",0,25.7,11.79
"2022-04-08T11-22-00-Caitlin Robinson!Caitlin Robinson",1.89,25.26,11.85
"2022-04-10T13-39-00-Andrew Simon!Andrew Simon",0,62.06,16.42
"2022-04-10T12-24-00-Andrew Simon!Andrew Simon",0,146.08,24.94
"2022-05-01T10-42-00-Andrew Simon!Andrew Simon",0,173.69,21.03
"2022-05-29T09-18-00-Andrew Simon!Andrew Simon",0,134.33,28.69
"2022-05-29T17-15-00-Andrew Simon!Andrew Simon",0.13,212.52,41.17
"2023-04-16T09-21-00-Andrew Simon!Andrew Simon",16.17,78.46,50.65
"2020-06-26T11-05-00-Andrew Simon!Andrew Simon",1.02,176.17,53.02
"2020-07-25T15-45-00-Caitlin Robinson!Caitlin Robinson",6.81,6.81,6.81
"2020-08-11T17-11-00-Andrew Simon!Andrew Simon",0.31,268.59,65.08
"2020-08-15T08-42-00-Andrew Simon!Andrew Simon",0,140.88,26.08
"2021-07-01T15-57-00-Andrew Simon!Andrew Simon",3.12,350.17,99.87
"2021-07-04T13-51-00-Andrew Simon!Andrew Simon",3.2,565.71,114.47
"2022-06-04T16-09-00-Andrew Simon!Andrew Simon",0,103.23,7.69
"2020-03-21T13-54-00-Andrew Simon!Andrew Simon",0,149,68.99
"2020-07-12T14-30-00-Hannah Carpendale!Andrew Simon",0.58,67.49,15.07
"2021-06-05T17-07-00-Caitlin Robinson!Caitlin Robinson",18.94,56.67,37.8
"2022-08-20T13-50-00-Andrew Simon!Andrew Simon",3.69,90.71,28.11
"2022-09-19T16-35-00-Caitlin Robinson!Caitlin Robinson",2.95,7.18,5.77
"2021-06-19T15-35-00-Caitlin Robinson!Caitlin Robinson",8.47,48.32,20.84
"2021-06-24T14-49-00-Caitlin Robinson!Caitlin Robinson",11.41,45.9,27.01
"2022-08-04T13-42-00-Caitlin Robinson!Caitlin Robinson",4.16,15.06,9.74
"2021-06-10T16-31-00-Caitlin Robinson!Caitlin Robinson",175.64,390.23,282.93
"2022-02-16T16-35-00-Caitlin Robinson!Caitlin Robinson",25.17,700.84,229.59
"2022-02-20T17-33-00-Caitlin Robinson!Caitlin Robinson",39.36,39.36,39.36
"2022-02-28T14-46-00-Caitlin Robinson!Caitlin Robinson",5.76,78.89,43.47
