"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp","long","lat"
"Claytonia perfoliata",52994,"Claytonia perfoliata",0,"accepted","miner's lettuce",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Claytonia","perfoliata","iNat:43253023","2020-04-24T15:18:00-07:00",,"Andrew Simon","false","research",21,2020-04-24 22:18:00,-123.341194,48.866512
"Hypochaeris radicata",53104,"Hypochaeris radicata",0,"accepted","Common Cat's-ear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Hypochaeris","radicata","iNat:43253030","2020-04-24T15:21:00-07:00",,"Andrew Simon","false","research",24,2020-04-24 22:21:00,-123.340588,48.866369
"Lamium purpureum",55851,"Lamium purpureum",0,"accepted","red deadnettle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Lamiaceae","Lamioideae","Lamieae","Lamium","purpureum","iNat:43253033","2020-04-24T15:23:00-07:00",,"Andrew Simon","false","research",22,2020-04-24 22:23:00,-123.340315,48.866305
"Rubus bifrons",168025,"Rubus bifrons",0,"accepted","Himalayan Blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","bifrons","iNat:43253036","2020-04-24T15:23:00-07:00",,"Andrew Simon","false","needs_id",22,2020-04-24 22:23:00,-123.340315,48.866305
"Funaria hygrometrica",120000,"Funaria hygrometrica",0,"accepted","Bonfire moss",,"Plantae","Bryophyta","","","Bryopsida","","","Funariales","","","","Funariaceae","","","Funaria","hygrometrica","iNat:43253038","2020-04-24T15:24:00-07:00",,"Andrew Simon","false","needs_id",44,2020-04-24 22:24:00,-123.339526,48.86615
"Buddleja davidii",75916,"Buddleja davidii",0,"accepted","Butterfly bush",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Scrophulariaceae","","Buddlejeae","Buddleja","davidii","iNat:43253039","2020-04-24T15:24:00-07:00",,"Andrew Simon","false","research",44,2020-04-24 22:24:00,-123.339526,48.86615
"Trifolium microcephalum",58911,"Trifolium microcephalum",0,"accepted","small-headed clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","microcephalum","iNat:43253042","2020-04-24T15:26:00-07:00",,"Andrew Simon","false","research",44,2020-04-24 22:26:00,-123.339526,48.86615
"Pseudognaphalium",53078,"Pseudognaphalium",0,"accepted","rabbit-tobaccos",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Gnaphalieae","Pseudognaphalium","","iNat:43253047","2020-04-24T15:27:00-07:00",,"Andrew Simon","false","needs_id",44,2020-04-24 22:27:00,-123.339526,48.86615
"Cytisus scoparius",48538,"Cytisus scoparius",0,"accepted","Scotch Broom",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Cytisus","scoparius","iNat:43253051","2020-04-24T15:27:00-07:00",,"Andrew Simon","false","research",44,2020-04-24 22:27:00,-123.339526,48.86615
"Vicia tetrasperma",57310,"Vicia tetrasperma",0,"accepted","Smooth tare",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Vicia","tetrasperma","iNat:43253054","2020-04-24T15:31:00-07:00",,"Andrew Simon","false","needs_id",44,2020-04-24 22:31:00,-123.339526,48.86615
"Sedum lanceolatum nesioticum",238479,"Sedum lanceolatum nesioticum",0,"accepted","Island Stonecrop",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Crassulaceae","Sempervivoideae","Sedeae","Sedum","lanceolatum","iNat:43253056","2020-04-24T15:35:00-07:00",,"Andrew Simon","false","research",31,2020-04-24 22:35:00,-123.337756,48.86584
"Sedum spathulifolium",58886,"Sedum spathulifolium",0,"accepted","Broad-leaved Stonecrop",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:43253065","2020-04-24T15:36:00-07:00",,"Andrew Simon","false","research",31,2020-04-24 22:36:00,-123.337756,48.86584
"Quercus garryana",68632,"Quercus garryana",0,"accepted","Oregon oak",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fagales","","","","Fagaceae","","","Quercus","garryana","iNat:43253069","2020-04-24T15:39:00-07:00",,"Andrew Simon","false","needs_id",27,2020-04-24 22:39:00,-123.337191,48.865762
"Berberis aquifolium",126887,"Berberis aquifolium",0,"accepted","Oregon grape",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Berberis","aquifolium","iNat:43253070","2020-04-24T15:39:00-07:00",,"Andrew Simon","false","research",27,2020-04-24 22:39:00,-123.337191,48.865762
"Urospora",339056,"Urospora",0,"accepted","",,"Plantae","Chlorophyta","","","Ulvophyceae","","","Codiolales","","","","Acrosiphoniaceae","","","Urospora","","iNat:43253077","2020-04-24T15:41:00-07:00",,"Andrew Simon","false","needs_id",28,2020-04-24 22:41:00,-123.338811,48.865796
"Henricia",47665,"Henricia",0,"accepted","Blood Stars",,"Animalia","Echinodermata","Asterozoa","","Asteroidea","","Spinulosacea","Spinulosida","","","","Echinasteridae","","","Henricia","","iNat:43253087","2020-04-24T15:44:00-07:00",,"Andrew Simon","false","needs_id",28,2020-04-24 22:44:00,-123.338811,48.865796
"Ulva",54644,"Ulva",0,"accepted","Sea Lettuces",,"Plantae","Chlorophyta","","","Ulvophyceae","","","Ulvales","","","","Ulvaceae","","","Ulva","","iNat:43253088","2020-04-24T15:46:00-07:00",,"Andrew Simon","false","needs_id",10,2020-04-24 22:46:00,-123.342327,48.866745
"Branta canadensis",7089,"Branta canadensis",0,"accepted","Canada Goose",,"Animalia","Chordata","Vertebrata","","Aves","","","Anseriformes","","","","Anatidae","","","Branta","canadensis","iNat:43253100","2020-04-24T15:59:00-07:00",,"Andrew Simon","false","research",10,2020-04-24 22:59:00,-123.34299,48.866685
"Erodium cicutarium",47687,"Erodium cicutarium",0,"accepted","Redstem Stork's-bill",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Geraniales","","","","Geraniaceae","","","Erodium","cicutarium","iNat:43253104","2020-04-24T16:03:00-07:00",,"Andrew Simon","false","research",26,2020-04-24 23:03:00,-123.342734,48.866805
"Imbribryum miniatum",538114,"Imbribryum miniatum",0,"accepted","Glossy Red Bryum Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Bryaceae","","","Imbribryum","miniatum","iNat:43253108","2020-04-24T16:04:00-07:00",,"Andrew Simon","false","needs_id",26,2020-04-24 23:04:00,-123.342734,48.866805
"Heuchera micrantha",51274,"Heuchera micrantha",0,"accepted","crevice alumroot",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Saxifragaceae","","Heuchereae","Heuchera","micrantha","iNat:43253125","2020-04-24T16:05:00-07:00",,"Andrew Simon","false","needs_id",26,2020-04-24 23:05:00,-123.342734,48.866805
"Rubus ursinus",53445,"Rubus ursinus",0,"accepted","trailing blackberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","ursinus","iNat:43253130","2020-04-24T16:07:00-07:00",,"Andrew Simon","false","needs_id",22,2020-04-24 23:07:00,-123.343465,48.866749
"Hamata",967520,"Hamata",0,"accepted","hook-lobed dandelions",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Taraxacum","","iNat:43253131","2020-04-24T16:08:00-07:00",,"Andrew Simon","false","needs_id",22,2020-04-24 23:08:00,-123.343465,48.866749
"Cerastium arvense strictum",50847,"Cerastium arvense strictum",0,"accepted","field mouse-ear chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:43253145","2020-04-24T16:13:00-07:00",,"Andrew Simon","false","research",17,2020-04-24 23:13:00,-123.343624,48.86684
"Corallorhiza",49445,"Corallorhiza",0,"accepted","Coralroots",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Orchidaceae","Epidendroideae","Epidendreae","Corallorhiza","","iNat:232514431","2020-07-25T14:43:36-07:00",,"Caitlin Robinson","false","needs_id",10,2020-07-25 21:43:36,-123.57135,49.008583
"Cryptoporus volvatus",118051,"Cryptoporus volvatus",0,"accepted","Veiled Polypore",,"Fungi","Basidiomycota","Agaricomycotina","","Agaricomycetes","","","Polyporales","","","","Polyporaceae","","","Cryptoporus","volvatus","iNat:87479989","2021-06-04T16:55:25-07:00",,"Caitlin Robinson","false","research",20,2021-06-04 23:55:25,-123.450705,48.929612
"Tiarella trifoliata",51643,"Tiarella trifoliata",0,"accepted","Threeleaf Foamflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Saxifragaceae","","Heuchereae","Tiarella","trifoliata","iNat:81656802","2021-06-04T17:08:08-07:00",,"Caitlin Robinson","false","needs_id",20,2021-06-05 00:08:08,-123.45073,48.929355
"Osmorhiza berteroi",53166,"Osmorhiza berteroi",0,"accepted","mountain sweet cicely",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Osmorhiza","berteroi","iNat:81765544","2021-06-04T17:12:07-07:00",,"Caitlin Robinson","false","research",20,2021-06-05 00:12:07,-123.450592,48.929537
"Sanicula crassicaulis",53201,"Sanicula crassicaulis",0,"accepted","Pacific Sanicle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Saniculoideae","Saniculeae","Sanicula","crassicaulis","iNat:81641905","2021-06-04T17:15:29-07:00",,"Caitlin Robinson","false","research",20,2021-06-05 00:15:29,-123.450592,48.929522
"Achlys triphylla",75263,"Achlys triphylla",0,"accepted","vanilla leaf",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Achlys","triphylla","iNat:87486379","2021-06-04T17:16:47-07:00",,"Caitlin Robinson","false","research",20,2021-06-05 00:16:47,-123.45053,48.929388
"Oenanthe sarmentosa",60127,"Oenanthe sarmentosa",0,"accepted","water parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Oenantheae","Oenanthe","sarmentosa","iNat:81656810","2021-06-04T17:58:49-07:00",,"Caitlin Robinson","false","research",20,2021-06-05 00:58:49,-123.450097,48.929262
"Oenanthe sarmentosa",60127,"Oenanthe sarmentosa",0,"accepted","water parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Oenantheae","Oenanthe","sarmentosa","iNat:93816974","2021-06-04T18:08:34-07:00",,"Caitlin Robinson","false","research",20,2021-06-05 01:08:34,-123.450103,48.929287
"Lathyrus nevadensis",77640,"Lathyrus nevadensis",0,"accepted","Sierra Nevada Peavine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Fabeae","Lathyrus","nevadensis","iNat:81821372","2021-06-05T18:36:30-07:00",,"Caitlin Robinson","false","research",30,2021-06-06 01:36:30,-123.55468,48.977633
"Polyporaceae",47379,"Polyporaceae",0,"accepted","bracket fungi",,"Fungi","Basidiomycota","Agaricomycotina","","Agaricomycetes","","","Polyporales","","","","Polyporaceae","","","","","iNat:81821451","2021-06-05T18:54:05-07:00",,"Caitlin Robinson","false","needs_id",30,2021-06-06 01:54:05,-123.55255,48.977705
"Trifolium pratense",51875,"Trifolium pratense",0,"accepted","Red Clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","pratense","iNat:83099623","2021-06-14T21:03:19-07:00",,"Caitlin Robinson","false","research",16,2021-06-15 04:03:19,-123.497345,48.946653
"Osmorhiza",53167,"Osmorhiza",0,"accepted","sweet cicely",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Scandiceae","Osmorhiza","","iNat:83099010","2021-06-14T22:20:31-07:00",,"Caitlin Robinson","false","needs_id",30,2021-06-15 05:20:31,-123.498571,48.946592
"Prunella vulgaris",52764,"Prunella vulgaris",0,"accepted","common selfheal",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Lamiaceae","Nepetoideae","Mentheae","Prunella","vulgaris","iNat:90751192","2021-06-15T14:17:26-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 21:17:26,-123.45182,48.928713
"Plagiomnium insigne",122705,"Plagiomnium insigne",0,"accepted","Badge Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Bryales","","","","Mniaceae","","","Plagiomnium","insigne","iNat:90751611","2021-06-15T14:18:24-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 21:18:24,-123.451242,48.9288
"Myosotis discolor",70265,"Myosotis discolor",0,"accepted","Changing Forget-me-not",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Boraginales","","","","Boraginaceae","Cynoglossoideae","Myosotideae","Myosotis","discolor","iNat:90752065","2021-06-15T14:22:20-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 21:22:20,-123.451287,48.929012
"Abies grandis",63690,"Abies grandis",0,"accepted","grand fir",,"Plantae","Tracheophyta","","","Pinopsida","","","Pinales","","","","Pinaceae","Abietoideae","","Abies","grandis","iNat:83420234","2021-06-15T14:23:44-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 21:23:44,-123.450958,48.928997
"Rubus leucodermis",63960,"Rubus leucodermis",0,"accepted","whitebark raspberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Rubeae","Rubus","leucodermis","iNat:90750354","2021-06-15T14:45:27-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 21:45:27,-123.450905,48.929192
"Tuckermanopsis orbata",813868,"Tuckermanopsis orbata",0,"accepted","variable wrinkle-lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Tuckermanopsis","orbata","iNat:83203278","2021-06-15T15:00:51-07:00",,"Caitlin Robinson","false","research",20,2021-06-15 22:00:51,-123.450828,48.929255
"Chroogomphus ochraceus",118358,"Chroogomphus ochraceus",0,"accepted","Olive Pine Spike",,"Fungi","Basidiomycota","Agaricomycotina","","Agaricomycetes","Agaricomycetidae","","Boletales","","","","Gomphidiaceae","","","Chroogomphus","ochraceus","iNat:94284122","2021-06-18T20:13:16-07:00",,"Caitlin Robinson","false","needs_id",16,2021-06-19 03:13:16,-123.343475,48.868947
"Aquilegia formosa",48244,"Aquilegia formosa",0,"accepted","western columbine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Ranunculaceae","Thalictroideae","","Aquilegia","formosa","iNat:83594319","2021-06-18T20:22:02-07:00",,"Caitlin Robinson","false","research",16,2021-06-19 03:22:02,-123.344047,48.868347
"Achlys triphylla",75263,"Achlys triphylla",0,"accepted","vanilla leaf",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ranunculales","","","","Berberidaceae","Berberidoideae","Berberideae","Achlys","triphylla","iNat:122258255","2022-06-17T08:44:00-07:00",,"Andrew Simon","false","research",10,2022-06-17 15:44:00,-123.350601,48.862983
