"OID","cell_id","NEAR_DIST","uc","radius","assigned_community","fringe_dist"
8,270383,4220.4786782116,12,33.2132034355964,0,4220.4786782116
8,270384,4246.94763575846,12,33.2132034355964,0,4246.94763575846
8,270385,4273.46162903267,12,33.2132034355964,0,4273.46162903267
8,270386,4300.01982495709,12,33.2132034355964,0,4300.01982495709
8,271050,3324.46169388422,12,33.2132034355964,0,3324.46169388422
8,271051,3348.41302887011,12,33.2132034355964,0,3348.41302887011
8,271052,3372.45907400406,12,33.2132034355964,0,3372.45907400406
8,271053,3396.59781779566,12,33.2132034355964,0,3396.59781779566
8,271054,3420.82729788779,12,33.2132034355964,0,3420.82729788779
8,271086,4234.49932677238,12,33.2132034355964,0,4234.49932677238
8,271087,4260.88132936148,12,33.2132034355964,0,4260.88132936148
8,271088,4287.30929526777,12,33.2132034355964,0,4287.30929526777
8,271089,4313.78237971793,12,33.2132034355964,0,4313.78237971793
8,271755,3390.24756687862,12,33.2132034355964,0,3390.24756687862
8,271756,3414.2606775956,12,33.2132034355964,0,3414.2606775956
8,271757,3438.36582261707,12,33.2132034355964,0,3438.36582261707
8,271758,3462.56107981245,12,33.2132034355964,0,3462.56107981245
8,271759,3486.84457331186,12,33.2132034355964,0,3486.84457331186
8,271760,3511.21447239105,12,33.2132034355964,0,3511.21447239105
8,271761,3535.66899037814,12,33.2132034355964,0,3535.66899037814
10,271877,3894.13231247169,32,53.2132034355964,0,3894.13231247169
10,271878,3886.90345001964,32,53.2132034355964,0,3886.90345001964
10,271879,3879.89154536355,32,53.2132034355964,0,3879.89154536355
8,272459,3432.09332721624,12,33.2132034355964,0,3432.09332721624
8,272460,3456.07422543694,12,33.2132034355964,0,3456.07422543694
8,272461,3480.14649865223,12,33.2132034355964,0,3480.14649865223
8,272462,3504.3082638033,12,33.2132034355964,0,3504.3082638033
8,272463,3528.55768250282,12,33.2132034355964,0,3528.55768250282
8,272464,3552.89295997737,12,33.2132034355964,0,3552.89295997737
8,272465,3577.31234402107,12,33.2132034355964,0,3577.31234402107
8,272466,3601.81412396721,12,33.2132034355964,0,3601.81412396721
8,272467,3626.39662969323,12,33.2132034355964,0,3626.39662969323
10,272580,3865.14294435334,32,53.2132034355964,0,3865.14294435334
10,272581,3857.85972272662,32,53.2132034355964,0,3857.85972272662
8,273165,3521.93939903929,12,33.2132034355964,0,3521.93939903929
8,273166,3546.06838058568,12,33.2132034355964,0,3546.06838058568
8,273167,3570.28443600877,12,33.2132034355964,0,3570.28443600877
8,273168,3594.58580550852,12,33.2132034355964,0,3594.58580550852
8,273169,3618.97077043113,12,33.2132034355964,0,3618.97077043113
8,273170,3643.43765230576,12,33.2132034355964,0,3643.43765230576
8,273171,3667.98481187442,12,33.2132034355964,0,3667.98481187442
8,273872,3636.29251907292,12,33.2132034355964,0,3636.29251907292
8,273873,3660.64375896216,12,33.2132034355964,0,3660.64375896216
8,273874,3685.07643751275,12,33.2132034355964,0,3685.07643751275
8,273875,3709.58894557377,12,33.2132034355964,0,3709.58894557377
8,273876,3734.17971105649,12,33.2132034355964,0,3734.17971105649
8,274577,3702.33082177813,12,33.2132034355964,0,3702.33082177813
8,274578,3726.72997206555,12,33.2132034355964,0,3726.72997206555
8,274579,3751.20850388839,12,33.2132034355964,0,3751.20850388839
8,274580,3775.76487333775,12,33.2132034355964,0,3775.76487333775
10,274701,3703.81927007732,32,53.2132034355964,0,3703.81927007732
10,274703,3694.65559058751,32,53.2132034355964,0,3694.65559058751
8,275282,3768.39777070048,12,33.2132034355964,0,3768.39777070048
8,275283,3792.84298284691,12,33.2132034355964,0,3792.84298284691
8,275284,3817.36561264186,12,33.2132034355964,0,3817.36561264186
8,275285,3841.96417765311,12,33.2132034355964,0,3841.96417765311
10,275403,3679.27658273936,32,53.2132034355964,0,3679.27658273936
10,275404,3674.30201188387,32,53.2132034355964,0,3674.30201188387
10,275405,3669.56433874429,32,53.2132034355964,0,3669.56433874429
10,275406,3665.0644820041,32,53.2132034355964,0,3665.0644820041
10,275407,3660.80331863452,32,53.2132034355964,0,3660.80331863452
10,275408,3656.78168306742,32,53.2132034355964,0,3656.78168306742
8,275986,3810.07936921684,12,33.2132034355964,0,3810.07936921684
8,275987,3834.49190018986,12,33.2132034355964,0,3834.49190018986
8,275988,3858.98142893537,12,33.2132034355964,0,3858.98142893537
8,275989,3883.54649881735,12,33.2132034355964,0,3883.54649881735
10,276109,3635.47861704052,32,53.2132034355964,0,3635.47861704052
10,276110,3631.18271192751,32,53.2132034355964,0,3631.18271192751
10,276111,3627.12821235729,32,53.2132034355964,0,3627.12821235729
10,276112,3623.31592873127,32,53.2132034355964,0,3623.31592873127
10,276113,3619.74662634841,32,53.2132034355964,0,3619.74662634841
8,276690,3851.77432335338,12,33.2132034355964,0,3851.77432335338
8,276691,3876.15479421859,12,33.2132034355964,0,3876.15479421859
8,276692,3900.61184334316,12,33.2132034355964,0,3900.61184334316
8,276693,3925.14403927599,12,33.2132034355964,0,3925.14403927599
10,276817,3586.68325823265,32,53.2132034355964,0,3586.68325823265
10,276818,3583.57644436604,32,53.2132034355964,0,3583.57644436604
10,276819,3580.71662506529,32,53.2132034355964,0,3580.71662506529
10,276820,3578.10439256485,32,53.2132034355964,0,3578.10439256485
8,277395,3917.83122272743,12,33.2132034355964,0,3917.83122272743
8,277396,3942.25639705219,12,33.2132034355964,0,3942.25639705219
8,277397,3966.75632387602,12,33.2132034355964,0,3966.75632387602
10,277522,3550.93177626187,32,53.2132034355964,0,3550.93177626187
8,278098,3935.20261492371,12,33.2132034355964,0,3935.20261492371
8,278099,3959.52076197481,12,33.2132034355964,0,3959.52076197481
8,278100,3983.9146502808,12,33.2132034355964,0,3983.9146502808
8,278101,4008.3828970187,12,33.2132034355964,0,4008.3828970187
10,278133,4665.66591688226,32,53.2132034355964,0,4665.66591688226
10,278134,4645.99103982591,32,53.2132034355964,0,4645.99103982591
8,278803,4001.22300575963,12,33.2132034355964,0,4001.22300575963
8,278804,4025.58618130695,12,33.2132034355964,0,4025.58618130695
8,278805,4050.02332168997,12,33.2132034355964,0,4050.02332168997
10,278837,4623.46687128015,32,53.2132034355964,0,4623.46687128015
10,278839,4584.25532095932,32,53.2132034355964,0,4584.25532095932
8,279507,4042.93756450946,12,33.2132034355964,0,4042.93756450946
8,279508,4067.27058555952,12,33.2132034355964,0,4067.27058555952
8,279509,4091.67717851998,12,33.2132034355964,0,4091.67717851998
8,279510,4116.15603466208,12,33.2132034355964,0,4116.15603466208
10,279541,4581.2693557249,32,53.2132034355964,0,4581.2693557249
10,279542,4561.62224054165,32,53.2132034355964,0,4561.62224054165
10,279543,4542.08698045571,32,53.2132034355964,0,4542.08698045571
8,280211,4084.66406445541,12,33.2132034355964,0,4084.66406445541
8,280212,4108.9674747628,12,33.2132034355964,0,4108.9674747628
8,280213,4133.34406490533,12,33.2132034355964,0,4133.34406490533
8,280214,4157.79254774932,12,33.2132034355964,0,4157.79254774932
10,280245,4539.07341607012,32,53.2132034355964,0,4539.07341607012
10,280246,4519.44058394708,32,53.2132034355964,0,4519.44058394708
10,280247,4499.92078082657,32,53.2132034355964,0,4499.92078082657
8,280916,4150.67647612533,12,33.2132034355964,0,4150.67647612533
8,280917,4175.02359419389,12,33.2132034355964,0,4175.02359419389
8,280918,4199.44223502514,12,33.2132034355964,0,4199.44223502514
8,280919,4223.93115819688,12,33.2132034355964,0,4223.93115819688
10,280949,4496.87909989076,32,53.2132034355964,0,4496.87909989076
10,280950,4477.26082926616,32,53.2132034355964,0,4477.26082926616
